전국순위,기초,sido,인구,자연휴양림_개소,자연휴양림_수용인원,국립휴양림_개소,국립휴양림_연이용자,치유의숲_개소,치유의숲_면적ha,유아숲체험원_개소,수목원_개소,산림교육센터_개소,휴양림수용_10만명당,치유의숲ha_10만명당,유아숲_10만명당,수목원_10만명당,산림교육센터_10만명당,국립휴양림이용_천명당,접근성_상대_0to100,종합공급점수,시도_미충족잠재수요율,z_수요격차,z_공급부족,우선확충지수,우선확충지수_0100,등급,유형
109,충북 보은군,충북,30527.0,2.0,618.0,1.0,36262.0,0.0,0.0,0,0,0,2024.437,0.0,0.0,0.0,0.0,1187.866,88.2,-0.211,47.053,-0.15,0.347,0.242,69.8,2순위(검토),B. 공급취약·수요低 → 인지도/홍보
110,강원 철원군,강원,40497.0,1.0,100.0,1.0,37766.0,0.0,0.0,2,0,0,246.932,0.0,4.939,0.0,0.0,932.563,67.6,0.237,64.119,0.857,-0.39,0.21,69.4,2순위(검토),C. 공급보유·수요高 → 접근성/연계
111,경기 연천군,경기,40866.0,1.0,189.0,0.0,0.0,0.0,0.0,1,0,0,462.487,0.0,2.447,0.0,0.0,0.0,64.2,0.099,58.621,0.532,-0.163,0.21,69.3,2순위(검토),C. 공급보유·수요高 → 접근성/연계
112,경북 영양군,경북,15328.0,1.0,250.0,1.0,28107.0,0.0,0.0,1,0,0,1631.002,0.0,6.524,0.0,0.0,1833.703,50.1,0.428,69.679,1.185,-0.704,0.126,68.1,2순위(검토),C. 공급보유·수요高 → 접근성/연계
113,경북 청송군,경북,23716.0,1.0,160.0,0.0,0.0,0.0,0.0,2,0,0,674.65,0.0,8.433,0.0,0.0,0.0,54.0,0.447,69.679,1.185,-0.736,0.094,67.6,2순위(검토),C. 공급보유·수요高 → 접근성/연계
114,충남 아산시,충남,355014.0,1.0,341.0,0.0,0.0,0.0,0.0,8,1,0,96.053,0.0,2.253,0.282,0.0,0.0,82.2,0.152,57.382,0.459,-0.25,0.072,67.3,2순위(검토),C. 공급보유·수요高 → 접근성/연계
115,부산 북구,부산,267692.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0,0.0,0.0,0.747,0.374,0.0,0.0,69.5,-0.281,39.912,-0.571,0.462,0.062,67.2,2순위(검토),B. 공급취약·수요低 → 인지도/홍보
116,충북 청주시,충북,854537.0,1.0,373.0,1.0,53925.0,0.0,0.0,6,1,1,43.649,0.0,0.702,0.117,0.117,63.104,84.902,-0.1,47.053,-0.15,0.165,0.06,67.1,2순위(검토),D. 공급보유·수요低 → 유지
116,전남 신안군,전남,38173.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,61.7,-0.674,24.088,-1.505,1.108,0.055,67.1,2순위(검토),B. 공급취약·수요低 → 인지도/홍보
118,충남 계룡시,충남,46540.0,0.0,0.0,0.0,0.0,1.0,50.0,1,0,0,0.0,107.434,2.149,0.0,0.0,0.0,91.2,0.165,57.382,0.459,-0.272,0.05,67.0,2순위(검토),C. 공급보유·수요高 → 접근성/연계
